Date,たかしょ,み,ひかる,けーと
2024/12/30,6,-43,-4,41
2024/12/30,7.9,23.8,-10.4,-21.3
2024/12/30,-8.7,36.2,-39.7,12.2
2024/12/30,0.5,28.6,16,-45.1
2024/12/30,1,-20,61,-42
2024/12/30,49,-31,-19,1
2024/12/30,-6,-19,19,6
2024/12/30,1.4,37.9,-29.3,-10
2024/12/30,-9.2,32.8,-25.7,2.1
2024/12/30,28,-36.3,13.1,-4.8
2024/12/30,-42.1,12.1,32.5,-2.5
2024/12/30,-21.7,15.3,-34.9,41.3
2024/12/30,-28.3,5.8,28.1,-5.6
2024/12/30,-2.5,31.7,15.2,-44.4
2024/12/30,11.6,-3.2,-40.9,32.5
2024/12/30,10.7,-28.5,-3.1,20.9
2024/12/30,-5.2,-24.1,23.8,5.5
2024/12/30,42.7,-19.1,-42.1,18.5
2024/12/30,10.5,35.5,-11.5,-34.5
2024/12/30,11.2,-13.2,-35.9,37.9
2024/12/30,-15.2,-26.3,14.2,27.3
2024/12/30,53.4,-19.8,-31.4,-2.2
2024/12/30,-33.6,16.5,-14.6,31.7
2024/12/30,5.9,-14.2,41.9,-33.6
2024/12/30,-7.5,-32.7,25.9,14.3
2024/12/30,41.9,-39.8,12.1,-14.2
2025/1/5,-13.7,12,-29.1,30.8
2025/1/5,-7.5,4.4,-41.3,44.4
2025/1/5,-5,6.5,39.7,-41.2
2025/1/5,-25.2,1.1,-41.6,65.7
2025/1/5,-28.9,8.1,23.8,-3
2025/1/5,-11.7,32.8,8.5,-29.6
2025/1/5,-8,-40.8,34.9,13.9
2025/1/5,-21.9,-10.4,0.6,31.7
2025/2/2,-6.4,7.9,48.9,-50.4
2025/2/2,27.2,14.6,-40.7,-1.1
2025/2/2,-19.6,43.1,-37.6,14.1
2025/2/2,-9,8.3,-29.7,30.4
2025/2/2,1.5,32.8,-11,-23.3
2025/2/2,-33.5,28.5,-7.1,12.1
2025/2/2,7.7,-3.1,22.7,-27.3
2025/2/2,-7.7,77.5,19.3,-89.1
2025/2/2,31.3,-40.7,-6.6,16
2025/2/5,50,-40.7,-56.6,16
